primaryTitle,authorName,contentType,status,tags,totalChapters,currentChapterNumber,currentChapterLabel,rating,priority,description,notes,rawImportedLine
Isekai Elf no Dorei-chan,,Manga,Completed,,36,36,,,,,chyba skonczone,174.Isekai Elf no Dorei-chan 32.5 (36)  ✓?
Isekai Goumon Hime,,Manga,Completed,,15,15,,,,,,115.Isekai Goumon Hime 15  ✓
Isekai Kaeri no Yuusha ga Gendai Saikyou!,,Manga,Reading,,,16,4.2,,,,release_frequency=~30,248.Isekai Kaeri no Yuusha ga Gendai Saikyou! 4.2 (16) ~30
Isekai NTR,,Manga,Reading,,,9,,,,,,432. Isekai NTR 9
Isekai Onsen ni Tensei shita Ore no Kounou ga,,Manga,Reading,,,17,16.5,,,,,165.Isekai Onsen ni Tensei shita Ore no Kounou ga  16.5 (17) ~?
Isekai Ryouriodu,,Manga,Reading,,,12,11,,,,,246.Isekai Ryouriodu 11 (12) ~?
Isekai Yakkyoku,,Manga,Reading,,,22,26,,,,release_frequency=~41,205.Isekai Yakkyoku 22 (26) ~41
It All Starts With Playing Game Seriously,,Manga,Reading,,,39,,,,,,381. It All Starts With Playing Game Seriously 39
It Starts with a kingpin account,,Manga,Reading,,,48,,,,,,404. It Starts with a kingpin account 48
It Starts with a Mountain,,Manga,Reading,,,122,,,,,,453. It Starts with a Mountain 122
"It's Time for 'Interrogation', Princess!",,Manga,Reading,,,6,,,,,,"61.It's Time for 'Interrogation', Princess! 6"
It’s Hard To Mix In With The Demons,,Manga,Reading,,,16,,,,,,436.  It’s Hard To Mix In With The Demons 16
Jagaaaaaan,,Manga,Reading,,,70,,,1,,release_frequency=~25,182.Jagaaaaaan 70 ~25 🌟
Jichou shinai Motoyuusha no Tsuyokute Tanoshii New Game,,Manga,Reading,,,60,,,,,,403. Jichou shinai Motoyuusha no Tsuyokute Tanoshii New Game 60
Jimina Ken Sei Wa Sore Demo Saikyoudesu,,Manga,Reading,,,57,,,,,,475. Jimina Ken Sei Wa Sore Demo Saikyoudesu 57
Jishou F-Rank no Oniisama ga Game de Hyouka sareru Gakuen no Chouten ni Kunrin suru Sou desu yo?,,Manga,Reading,,,13,12,,1,,release_frequency=~40,133.Jishou F-Rank no Oniisama ga Game de Hyouka sareru Gakuen no Chouten ni Kunrin suru Sou desu yo? 12 (13) ~40 🌟
Joshikousei to Seishokusha-san,,Manga,Reading,,,28,,,,,,444. Joshikousei to Seishokusha-san 28
Journey to Heaven,,Manga,Reading,,,50,,,,,,514. Journey to Heaven 50
Jubunnoichi no Hanayome,,Manga,Completed,,64,64,,,,,"wtf,rushed ending,not making sense","407. Jubunnoichi no Hanayome 59.5  ( wtf,rushed ending,not making sense) (64) ✓"
Jungle Juice,,Manga,Reading,,,13,,8,,,,310. Jungle Juice 13 💯
Kaguya Wants to be Confessed to Official Doujin,,Manga,Reading,,,12,11.1,,,,,62.Kaguya Wants to be Confessed to Official Doujin 11.1 (12)
Kaifuku Jutsushi no Yarinaoshi,,Manga,Reading,,,46,21.2,,1,,,288.Kaifuku Jutsushi no Yarinaoshi  21.2 (46) ~? 🌟
Kakao 79%,,Manga,Reading,,,176,168,,,,release_frequency=~3,125.Kakao 79% 168 (176) ~3
Kangoku Jikken,,Manga,Reading,,,63,,,,,,480. Kangoku Jikken 63
"Kanojo, Okarishimasu",,Manga,Reading,,,88,87,,,,nie czytac,"54.Kanojo, Okarishimasu 87 (88)  (nie czytac)"
